
INFO 2021-07-04 13:02:14,823 views 11 访问testcase3页面
INFO 2021-07-04 18:24:00,924 views 23 上传文件
INFO 2021-07-04 18:24:05,029 views 19 上传文件
INFO 2021-07-04 18:24:27,906 views 19 上传文件
INFO 2021-07-04 18:26:49,997 views 19 上传文件
INFO 2021-07-04 18:28:05,298 views 19 上传文件
INFO 2021-07-04 18:28:24,843 views 19 上传文件
INFO 2021-07-04 18:28:32,120 views 19 上传文件
INFO 2021-07-04 18:28:48,885 views 19 上传文件
INFO 2021-07-04 18:28:48,908 views 26 读取文件结束
INFO 2021-07-04 18:31:27,576 views 19 上传文件
INFO 2021-07-04 18:31:27,606 views 26 读取文件结束
INFO 2021-07-04 18:32:33,762 views 19 上传文件
INFO 2021-07-04 18:32:33,783 views 26 读取文件结束
INFO 2021-07-04 18:33:28,676 views 19 上传文件
INFO 2021-07-04 18:33:28,812 views 26 读取文件结束
INFO 2021-07-04 18:34:25,725 views 19 上传文件
INFO 2021-07-04 18:34:25,726 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:34:25,727 views 26 读取文件结束
INFO 2021-07-04 18:36:11,030 views 19 上传文件
INFO 2021-07-04 18:36:11,030 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:36:28,016 views 19 上传文件
INFO 2021-07-04 18:36:28,016 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:36:47,223 views 19 上传文件
INFO 2021-07-04 18:36:47,224 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:38:34,847 views 19 上传文件
INFO 2021-07-04 18:38:34,848 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:39:01,948 views 19 上传文件
INFO 2021-07-04 18:39:01,949 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:40:42,155 views 19 上传文件
INFO 2021-07-04 18:40:42,155 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:40:42,157 views 30 读取文件结束
INFO 2021-07-04 18:40:43,393 views 19 上传文件
INFO 2021-07-04 18:40:43,393 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:40:43,395 views 30 读取文件结束
INFO 2021-07-04 18:40:53,333 views 19 上传文件
INFO 2021-07-04 18:40:53,333 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:40:53,334 views 30 读取文件结束
INFO 2021-07-04 18:41:26,332 views 19 上传文件
INFO 2021-07-04 18:41:26,332 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:41:26,333 views 30 读取文件结束
INFO 2021-07-04 18:41:34,078 views 19 上传文件
INFO 2021-07-04 18:41:34,078 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:41:34,079 views 30 读取文件结束
INFO 2021-07-04 18:42:45,840 views 19 上传文件
INFO 2021-07-04 18:42:45,841 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:42:45,842 views 29 读取文件结束
INFO 2021-07-04 18:42:54,174 views 19 上传文件
INFO 2021-07-04 18:42:54,175 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:42:54,176 views 29 读取文件结束
INFO 2021-07-04 18:42:54,850 views 19 上传文件
INFO 2021-07-04 18:42:54,851 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:42:54,852 views 29 读取文件结束
INFO 2021-07-04 18:42:55,166 views 19 上传文件
INFO 2021-07-04 18:42:55,166 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:42:55,218 views 29 读取文件结束
INFO 2021-07-04 18:42:55,310 views 19 上传文件
INFO 2021-07-04 18:42:55,311 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:42:55,311 views 29 读取文件结束
INFO 2021-07-04 18:42:55,450 views 19 上传文件
INFO 2021-07-04 18:42:55,450 views 21 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:42:55,451 views 29 读取文件结束
INFO 2021-07-04 18:51:30,321 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:51:30,322 views 32 读取文件结束
INFO 2021-07-04 18:52:15,490 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:52:15,492 views 32 读取文件结束
INFO 2021-07-04 18:52:57,371 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:52:57,372 views 32 读取文件结束
INFO 2021-07-04 18:53:50,392 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:53:50,394 views 32 读取文件结束
INFO 2021-07-04 18:54:55,069 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:54:55,069 views 32 读取文件结束
INFO 2021-07-04 18:56:41,673 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:56:41,675 views 32 读取文件结束
INFO 2021-07-04 18:58:30,534 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:58:30,535 views 32 读取文件结束
INFO 2021-07-04 18:59:05,753 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 18:59:05,754 views 32 读取文件结束
INFO 2021-07-04 19:00:09,167 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:00:09,167 views 32 读取文件结束
INFO 2021-07-04 19:01:14,087 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:01:14,088 views 32 读取文件结束
INFO 2021-07-04 19:01:16,590 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:01:16,592 views 32 读取文件结束
INFO 2021-07-04 19:01:18,647 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:01:18,648 views 32 读取文件结束
INFO 2021-07-04 19:02:02,473 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:02:02,474 views 32 读取文件结束
INFO 2021-07-04 19:02:04,412 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:02:04,413 views 32 读取文件结束
INFO 2021-07-04 19:02:05,187 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:02:05,189 views 32 读取文件结束
INFO 2021-07-04 19:03:03,034 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:03:03,035 views 32 读取文件结束
INFO 2021-07-04 19:06:20,176 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:06:20,177 views 32 读取文件结束
INFO 2021-07-04 19:07:26,166 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:07:26,167 views 32 读取文件结束
INFO 2021-07-04 19:08:47,576 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:08:47,578 views 32 读取文件结束
INFO 2021-07-04 19:09:20,747 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:09:20,748 views 32 读取文件结束
INFO 2021-07-04 19:10:10,635 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:10:10,636 views 32 读取文件结束
INFO 2021-07-04 19:13:40,379 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:13:40,381 views 32 读取文件结束
INFO 2021-07-04 19:22:51,210 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:22:51,211 views 32 读取文件结束
INFO 2021-07-04 19:23:15,748 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:23:15,750 views 32 读取文件结束
INFO 2021-07-04 19:23:32,445 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:23:32,447 views 32 读取文件结束
INFO 2021-07-04 19:24:16,384 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:24:16,385 views 32 读取文件结束
INFO 2021-07-04 19:26:00,578 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 19:26:00,580 views 32 读取文件结束
INFO 2021-07-04 20:15:26,179 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:15:26,180 views 32 读取文件结束
INFO 2021-07-04 20:18:14,160 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:18:14,161 views 32 读取文件结束
INFO 2021-07-04 20:27:33,094 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:27:33,095 views 32 读取文件结束
INFO 2021-07-04 20:27:49,422 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:27:49,423 views 32 读取文件结束
INFO 2021-07-04 20:28:27,085 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:28:27,086 views 32 读取文件结束
INFO 2021-07-04 20:28:39,471 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:28:39,472 views 32 读取文件结束
INFO 2021-07-04 20:29:03,138 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:29:03,140 views 32 读取文件结束
INFO 2021-07-04 20:29:04,356 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:29:04,357 views 32 读取文件结束
INFO 2021-07-04 20:36:02,668 views 119 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:48:31,037 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:48:31,039 views 32 读取文件结束
INFO 2021-07-04 20:48:31,039 views 36 文件路径为：static\2021-06-27-15-10-3620210704-204831.csv
INFO 2021-07-04 20:49:56,605 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:49:56,606 views 32 读取文件结束
INFO 2021-07-04 20:49:56,606 views 36 文件路径为：static\2021-06-27-15-10-3620210704-204956.csv
INFO 2021-07-04 20:51:08,133 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:51:08,135 views 32 读取文件结束
INFO 2021-07-04 20:51:08,135 views 36 文件路径为：static\2021-06-27-15-10-3620210704-205108.csv
INFO 2021-07-04 20:52:09,090 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 20:52:09,091 views 32 读取文件结束
INFO 2021-07-04 20:52:09,091 views 36 文件路径为：static\2021-06-27-15-10-3620210704-205209.csv
INFO 2021-07-04 20:52:26,084 views 107 从前端拿到模块的module_id为：1
INFO 2021-07-04 20:52:26,088 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:28,315 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 20:52:28,318 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:29,067 views 107 从前端拿到模块的module_id为：3
INFO 2021-07-04 20:52:29,070 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:29,830 views 107 从前端拿到模块的module_id为：4
INFO 2021-07-04 20:52:29,832 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:30,426 views 107 从前端拿到模块的module_id为：6
INFO 2021-07-04 20:52:30,428 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:32,405 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 20:52:32,408 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:32,814 views 107 从前端拿到模块的module_id为：1
INFO 2021-07-04 20:52:32,822 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:33,696 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 20:52:33,698 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:34,224 views 107 从前端拿到模块的module_id为：1
INFO 2021-07-04 20:52:34,227 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:34,663 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 20:52:34,669 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:35,913 views 107 从前端拿到模块的module_id为：6
INFO 2021-07-04 20:52:35,916 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:36,504 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 20:52:36,506 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:36,966 views 107 从前端拿到模块的module_id为：1
INFO 2021-07-04 20:52:36,973 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 20:52:38,122 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 20:52:38,124 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:16:42,944 views 107 从前端拿到模块的module_id为：2
INFO 2021-07-04 21:16:42,948 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:16:44,240 views 107 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:16:44,243 views 118 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:21:52,146 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 21:21:52,148 views 32 读取文件结束
INFO 2021-07-04 21:21:52,148 views 36 文件路径为：static\2021-06-27-15-10-3620210704-212152.csv
ERROR 2021-07-04 21:21:54,289 views 52 上传出现问题o
INFO 2021-07-04 21:22:10,547 views 110 从前端拿到模块的module_id为：2
INFO 2021-07-04 21:22:10,550 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:11,260 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:11,263 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:12,748 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:12,750 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:14,106 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:14,109 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:14,461 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:14,463 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:14,833 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:14,836 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:15,179 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:15,181 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:15,723 views 110 从前端拿到模块的module_id为：4
INFO 2021-07-04 21:22:15,725 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:16,424 views 110 从前端拿到模块的module_id为：3
INFO 2021-07-04 21:22:16,426 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:16,858 views 110 从前端拿到模块的module_id为：2
INFO 2021-07-04 21:22:16,860 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:17,675 views 110 从前端拿到模块的module_id为：3
INFO 2021-07-04 21:22:17,677 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:18,107 views 110 从前端拿到模块的module_id为：6
INFO 2021-07-04 21:22:18,109 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:20,298 views 110 从前端拿到模块的module_id为：3
INFO 2021-07-04 21:22:20,300 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:21,482 views 110 从前端拿到模块的module_id为：2
INFO 2021-07-04 21:22:21,485 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:22:22,058 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:22:22,060 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:23:57,216 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:23:57,218 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:23:58,388 views 110 从前端拿到模块的module_id为：2
INFO 2021-07-04 21:23:58,391 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
INFO 2021-07-04 21:24:03,779 views 23 上传文件file:2021-06-27-15-10-36.csv
INFO 2021-07-04 21:24:03,780 views 32 读取文件结束
INFO 2021-07-04 21:24:03,781 views 36 文件路径为：static\2021-06-27-15-10-3620210704-212403.csv
ERROR 2021-07-04 21:24:07,663 views 52 上传出现问题o
INFO 2021-07-04 21:24:07,690 views 110 从前端拿到模块的module_id为：1
INFO 2021-07-04 21:24:07,692 views 121 取出所有的模块为：<QuerySet [<DB_module: 登录>, <DB_module: 注册>, <DB_module: 支付>, <DB_module: 下单>, <DB_module: 测试模块>]>
